filename,gpu_id,width,height,total_ms,kernel_ms,h2d_ms,d2h_ms,io_ms
cat_1000x600 (Copy 1036).jpg,1,1000,600,161.862,0.19648,0.114656,0.472736,142.743
cat_1000x600 (Copy 1340).jpg,0,1000,600,216.684,0.202752,0.206496,0.541216,197.562
cat_1000x600 (Copy 1296).jpg,1,1000,600,143.444,0.19456,0.143008,0.478848,124.531
cat_1000x600 (Copy 1352).jpg,0,1000,600,144.357,0.207872,0.242624,0.52832,125.073
cat_1000x600 (Copy 5).jpg,1,1000,600,244.708,0.197632,0.161312,0.46624,225.741
cat_1000x600 (Copy 956).jpg,0,1000,600,374.933,0.206688,0.197216,0.636384,355.835
cat_1000x600 (Copy 359).jpg,1,1000,600,139.141,0.193536,0.133088,0.370272,120.458
cat_1000x600 (Copy 1547).jpg,0,1000,600,153.03,0.202752,0.269248,0.440416,134.301
cat_1000x600 (Copy 807).jpg,1,1000,600,157.165,0.194336,0.133472,0.37856,138.574
cat_1000x600 (Copy 773).jpg,0,1000,600,232.481,0.201728,0.24176,0.415648,213.489
cat_1000x600 (Copy 794).jpg,1,1000,600,167.461,0.195584,0.105312,0.378944,148.713
cat_1000x600 (Copy 817).jpg,0,1000,600,224.5,0.201728,0.24208,0.412128,205.511
cat_1000x600 (Copy 1245).jpg,1,1000,600,134.287,0.196608,0.152256,0.482496,115.562
cat_1000x600 (Copy 1440).jpg,0,1000,600,135.443,0.2048,0.197536,0.559424,116.234
cat_1000x600 (Copy 10).jpg,1,1000,600,130.753,0.195584,0.124096,0.3816,112.067
cat_1000x600 (Copy 826).jpg,0,1000,600,130.85,0.198656,0.2432,0.419168,112.086
cat_1000x600 (Copy 915).jpg,0,1000,600,157.842,0.19552,0.197248,0.5536,138.827
cat_1000x600 (Copy 1424).jpg,1,1000,600,179.56,0.19248,0.125248,0.492416,160.516
cat_1000x600 (Copy 1103).jpg,1,1000,600,135.868,0.191488,0.10576,0.36096,117.169
cat_1000x600 (Copy 210).jpg,0,1000,600,340.42,0.200704,0.233632,0.402336,321.748
cat_1000x600 (Copy 96).jpg,1,1000,600,131.357,0.19648,0.132928,0.362656,112.814
cat_1000x600 (Copy 1726).jpg,0,1000,600,150.909,0.202752,0.243008,0.425184,131.937
cat_1000x600 (Copy 541).jpg,0,1000,600,129.504,0.205824,0.278752,0.438784,110.56
cat_1000x600 (Copy 977).jpg,1,1000,600,170.785,0.195584,0.105344,0.369888,152.078
cat_1000x600 (Copy 848).jpg,0,1000,600,179.494,0.202752,0.242464,0.41552,160.65
cat_1000x600 (Copy 640).jpg,1,1000,600,361.149,0.19456,0.105312,0.361696,342.744
cat_1000x600 (Copy 1248).jpg,1,1000,600,148.865,0.195584,0.133216,0.3816,130.064
cat_1000x600 (Copy 1427).jpg,0,1000,600,178.902,0.203776,0.241632,0.412384,160.222
cat_1000x600 (Copy 7).jpg,1,1000,600,128.68,0.18944,0.151968,0.475008,109.678
cat_1000x600 (Copy 760).jpg,0,1000,600,174.551,0.198432,0.242848,0.61744,155.581
cat_1000x600 (Copy 1423).jpg,1,1000,600,182.899,0.18944,0.144256,0.48272,163.725
cat_1000x600 (Copy 1293).jpg,0,1000,600,244.794,0.195584,0.270272,0.553376,225.698
cat_1000x600 (Copy 1435).jpg,0,1000,600,127.285,0.203808,0.233888,0.413888,108.452
cat_1000x600 (Copy 399).jpg,1,1000,600,129.026,0.191488,0.115424,0.380608,110.492
cat_1000x600 (Copy 1280).jpg,1,1000,600,162.005,0.192512,0.13296,0.361728,143.613
cat_1000x600 (Copy 751).jpg,0,1000,600,166.725,0.19872,0.233376,0.401536,147.961
cat_1000x600 (Copy 1705).jpg,0,1000,600,129.118,0.205824,0.190624,0.412576,110.201
cat_1000x600 (Copy 1683).jpg,1,1000,600,233.254,0.19344,0.124608,0.378976,214.664
cat_1000x600 (Copy 1300).jpg,1,1000,600,145.508,0.19456,0.124544,0.378432,126.821
cat_1000x600 (Copy 854).jpg,0,1000,600,153.41,0.204672,0.250784,0.421536,134.585
cat_1000x600 (Copy 177).jpg,1,1000,600,125.964,0.198656,0.170432,0.472,107.096
cat_1000x600 (Copy 820).jpg,0,1000,600,157.387,0.207872,0.216096,0.54752,138.219
cat_1000x600 (Copy 286).jpg,1,1000,600,138.863,0.192512,0.133248,0.39296,120.181
cat_1000x600 (Copy 1378).jpg,0,1000,600,161.042,0.201728,0.26,0.42224,142.283
cat_1000x600 (Copy 1979).jpg,0,1000,600,174.543,0.19968,0.216,0.631456,155.559
cat_1000x600 (Copy 1249).jpg,1,1000,600,348.068,0.190464,0.161536,0.490592,328.97
cat_1000x600 (Copy 565).jpg,0,1000,600,139.826,0.195552,0.260064,0.418112,121.032
cat_1000x600 (Copy 1943).jpg,1,1000,600,215.738,0.189312,0.124128,0.376928,196.893
cat_1000x600 (Copy 1016).jpg,1,1000,600,132.176,0.19456,0.158464,0.477984,113.114
cat_1000x600 (Copy 1662).jpg,0,1000,600,132.337,0.202592,0.197216,0.56896,113.292
cat_1000x600 (Copy 1397).jpg,0,1000,600,301.496,0.201728,0.197184,0.552576,282.26
cat_1000x600 (Copy 1596).jpg,1,1000,600,334.61,0.199552,0.160992,0.4696,315.651
cat_1000x600 (Copy 356).jpg,1,1000,600,146.373,0.186368,0.124064,0.381056,127.942
cat_1000x600 (Copy 445).jpg,0,1000,600,162.686,0.196608,0.233248,0.405408,143.926
cat_1000x600 (Copy 1009).jpg,1,1000,600,144.594,0.197632,0.124384,0.472736,125.578
cat_1000x600 (Copy 568).jpg,0,1000,600,167.302,0.2056,0.197408,0.547904,147.84
cat_1000x600 (Copy 921).jpg,1,1000,600,140.042,0.19552,0.151904,0.471776,121.188
cat_1000x600 (Copy 1524).jpg,0,1000,600,173.33,0.204768,0.251744,0.538144,154.094
cat_1000x600 (Copy 354).jpg,0,1000,600,118.834,0.19456,0.26,0.435872,99.8913
cat_1000x600 (Copy 1803).jpg,1,1000,600,148.947,0.190464,0.133632,0.358272,130.297
