filename,gpu_id,width,height,total_ms,kernel_ms,h2d_ms,d2h_ms,io_ms
cat_1000x600 (Copy 2738).jpg,0,1000,600,907.172,0.08192,0.241408,0.574816,885.259
cat_1000x600 (Copy 670).jpg,0,1000,600,502.465,0.073728,0.206912,0.548928,481.044
cat_1000x600 (Copy 4925).jpg,0,1000,600,1900.37,0.084992,0.1984,0.558336,1669.17
cat_1000x600 (Copy 2463).jpg,0,1000,600,559.288,0.072704,0.270528,0.440224,539.989
cat_1000x600 (Copy 4350).jpg,0,1000,600,453.025,0.074752,0.242496,0.526336,433.817
cat_1000x600 (Copy 4693).jpg,0,1000,600,367.68,0.074752,0.21552,0.540992,348.352
cat_1000x600 (Copy 666).jpg,0,1000,600,1083.02,0.074752,0.206304,0.54464,1027.04
cat_1000x600 (Copy 716).jpg,0,1000,600,404.927,0.07488,0.197024,0.555264,385.73
cat_1000x600 (Copy 4441).jpg,0,1000,600,404.491,0.074752,0.250656,0.530912,384.974
cat_1000x600 (Copy 3957).jpg,0,1000,600,803.763,0.073728,0.197024,0.55424,784.571
cat_1000x600 (Copy 2954).jpg,0,1000,600,282.908,0.074752,0.250688,0.545792,263.652
cat_1000x600 (Copy 4695).jpg,0,1000,600,1099.48,0.073728,0.206368,0.562944,1080.24
cat_1000x600 (Copy 3971).jpg,0,1000,600,462.952,0.072704,0.278304,0.443616,443.547
cat_1000x600 (Copy 4523).jpg,0,1000,600,486.423,0.072704,0.197024,0.548832,467.128
cat_1000x600 (Copy 4210).jpg,0,1000,600,224.515,0.07472,0.251072,0.55088,205.307
cat_1000x600 (Copy 23).jpg,0,1000,600,180.847,0.073728,0.19712,0.546528,161.461
cat_1000x600 (Copy 1208).jpg,0,1000,600,916.69,0.073728,0.24144,0.529376,861.851
cat_1000x600 (Copy 1692).jpg,0,1000,600,159.108,0.080896,0.206336,0.545728,139.862
cat_1000x600 (Copy 975).jpg,0,1000,600,301.848,0.074752,0.206304,0.534688,282.655
cat_1000x600 (Copy 527).jpg,0,1000,600,644.469,0.075744,0.224704,0.546944,625.17
cat_1000x600 (Copy 1932).jpg,0,1000,600,384.406,0.072704,0.206304,0.552992,365.161
cat_1000x600 (Copy 1143).jpg,0,1000,600,1217.52,0.075648,0.197056,0.555168,1163.17
cat_1000x600 (Copy 2078).jpg,0,1000,600,555.736,0.07168,0.18992,0.422816,536.929
cat_1000x600 (Copy 1474).jpg,0,1000,600,682.831,0.074752,0.196704,0.554112,663.599
cat_1000x600 (Copy 3565).jpg,0,1000,600,454.541,0.073728,0.197952,0.55456,435.145
cat_1000x600 (Copy 2106).jpg,0,1000,600,610.342,0.07168,0.214464,0.545024,591.112
cat_1000x600 (Copy 3208).jpg,0,1000,600,324.148,0.073728,0.250656,0.545568,304.919
cat_1000x600 (Copy 2057).jpg,0,1000,600,262.558,0.074752,0.205984,0.557568,243.321
cat_1000x600 (Copy 4627).jpg,0,1000,600,812.038,0.075776,0.206592,0.561248,775.7
cat_1000x600 (Copy 395).jpg,0,1000,600,272.502,0.07168,0.197024,0.545568,253.332
cat_1000x600 (Copy 3524).jpg,0,1000,600,1175.5,0.074752,0.20672,0.553344,1156.29
cat_1000x600 (Copy 3014).jpg,0,1000,600,490.109,0.074752,0.26,0.545536,470.685
cat_1000x600 (Copy 3450).jpg,0,1000,600,637.996,0.074624,0.197696,0.552704,618.763
cat_1000x600 (Copy 2039).jpg,0,1000,600,144.659,0.073728,0.206336,0.554656,125.345
cat_1000x600 (Copy 2878).jpg,0,1000,600,311.522,0.074752,0.197408,0.620416,292.162
cat_1000x600 (Copy 2949).jpg,0,1000,600,625.729,0.075776,0.26,0.531616,606.419
cat_1000x600 (Copy 2565).jpg,0,1000,600,430.822,0.074624,0.206304,0.553632,411.488
cat_1000x600 (Copy 3556).jpg,0,1000,600,463.915,0.073728,0.241568,0.62864,444.472
